Final_Class,Codes_Selected,Final_Justification,Confidence,original_index,narr_accf
AE100 only,AE100,"The pilot's decision to overfly the frozen lake and pass on the original landing area due to ice cracks and heaves indicates a failure in judgment related to the physical environment, which aligns with unsafe acts classified under AE100.",High,10,"The pilot reported that they overflew the frozen lake and passed on the original landing area due to ice cracks and heaves. He flew to another area of the lake and located a suitable landing spot. He completed a low pass to survey the landing area and confirm its suitability. During the landing roll, he was unable to stop the airplane in the surveyed area; the airplane continued into a crack in the ice and became partially submerged. The airplane sustained substantial damage to the firewall and lower fuselage. The pilot reported that there were no preimpact mechanical malfunctions or failures that would have precluded normal operation."
AE100 only,,"The absence of preconditions indicates that the unsafe acts are likely related to errors in decision-making or actions taken by the operator, which aligns with AE100.",High,11,"The pilot reported that while returning from a 5-hour aerial survey flight, she noticed about a quarter tank of fuel indicated on each fuel gauge and continued the flight toward the destination airport. While on the approach, the pilot noticed that both engines sputtered and both fuel gauges indicated empty. The pilot conducted a forced landing to a highway median, and the airplane impacted guardrails. Both wings, the empennage, and fuselage sustained substantial damage. Postaccident examination of the airplane revealed that the fuel tanks contained no usable fuel."
AE100 only,AE100,"The evidence indicates that the pilot experienced a downdraft during the approach, which is a physical environmental factor that can lead to unsafe acts.",Medium,12,"At the time of the accident, the student pilot was on a solo cross-country flight to obtain a private, single engine airplane add-on to his certificate._x000D_
He reported that during a landing attempt he noted that the approach was stable at a constant airspeed and power setting. The pilot said that at an unknown point in the approach, he experienced a downdraft as he felt “a little push down” and observed a rapid change in his rate of descent. The pilot could not recall at what altitude he encountered the downdraft. The airplane landed hard and sustained substantial damage to the fuselage. _x000D_
The weather station at the airport reported that the wind was calm at the time of the accident. _x000D_
The pilot reported no preimpact mechanical malfunctions or anomalies that could have precluded normal operation."
AE200 only,PE200_Tools_Technology,"The evidence indicates that the airplane did not have a current annual inspection, which relates directly to the unsafe act of operating an aircraft without proper maintenance.",High,13,"The pilot reported that he was moving the airplane from a nearby airport to his residence and was landing on a road. He said that during the landing he used too much brake, lost directional control, and the airplane went off the left side of the road. The right wing struck a pole and the airplane sustained substantial damage to the right wing. The pilot stated that the airplane did not have a current annual inspection and when asked specifically if there were any mechanical problems with the airplane, he said there were none."
AE100 only,AE100,"The evidence indicates that a large bird flew directly in front of the airplane, which is a specific unsafe act related to the physical environment affecting the operation of the aircraft.",High,14,"The flight instructor and the pilot-rated student were in the flying in the airport traffic pattern practicing landings. During the initial climb following a touch-and-go landing, with the student at the controls, a large bird flew directly in front of the airplane. The student attempted to avoid it; however, the bird struck the leading edge of the left wing. The flight instructor took over the controls and landed the airplane uneventfully. An inspector with the Federal Aviation Administration examined the airplane and found that the wing had been substantially damaged as a result of the birdstrike."
AE200 only,,"The decision not to refuel before the flight indicates a potential unsafe act related to inadequate planning or coordination, which aligns with AE200.",Medium,15,"The right seat pilot reported that after performing a preflight inspection, he anticipated the airplane would need to be refueled and subsequently left the fuel caps unlocked. After a discussion with the left seat pilot (who was acting as the pilot-in-command), they decided they would not need to refuel before the flight. Both pilots performed another walk around inspection and neither pilot noticed that the fuel caps remained unlocked.  _x000D_
Shortly after takeoff, the right seat pilot noticed that both fuel caps were not secure, and that fuel was escaping from both main fuel tanks. He elected to make return to the departure airport and land on the opposite direction runway. The pilots were both manipulating the controls when they landed the airplane “hard” on the main landing gear. The airplane then bounced and veered to the right of the runway, impacting a terminal sign and taxi light. The hard landing and subsequent runway excursion resulted in substantial damage to the wings and fuselage. The pilots reported that there were no preaccident mechanical malfunctions or failures with the airplane that would have precluded normal operation."
AE100 only,,"The evidence indicates that the right wing of the airplane impacted bushes, suggesting a failure in the execution of the flight maneuver, which aligns with unsafe acts related to actions taken by the pilot.",High,16,"The pilot reported that during takeoff from the private airstrip, the right wing of the airplane impacted bushes alongside of the narrow turf runway. As a result of the impact, the airplane to yawed to the right. The pilot attempted to pull back on the yoke, but lost control and the airplane impacted the ground and nosed over.  The pilot reported that there were no pre-accident mechanic malfunctions or failures with the airplane that would have precluded normal operation."
AE100 only,AE100,"The pilot reported a gusting wind condition, which indicates an unsafe act related to the physical environment affecting the pilot's performance.",High,17,"The pilot reported that during the approach the airplane was flying “3-5 mph faster than normal” to account for the gusting wind condition. Just prior to the nosewheel touching down, the pilot felt a “strong gust that pulled the nose of the aircraft into the wind.” As the nosewheel touched down, the pilot applied right rudder, and the airplane departed the runway. The airplane impacted a runway sign, the nose gear collapsed, and the airplane came to rest upright with a nose down attitude. The two occupants were able to egress from the airplane without further incident._x000D_
The airplane sustained substantial damage to the engine mount. The pilot reported that there were no preimpact mechanical malfunctions or failures with the airframe or the engine that would have precluded normal operation."
AE100 only,PE100_Physical_Environment,"The evidence indicates that a bird impacted the leading edge of the left wing, which is a physical environmental factor contributing to an unsafe act.",High,18,"The pilot reported that during initial climb, around 700 ft above ground level, a bird impacted the leading edge of the left wing, resulting in substantial damage to the wing. After impacting the bird, the pilot informed air traffic control that he would need to return to the airport, performed a normal traffic pattern, and landed without further incident."
AE100 only,AE100,"The evidence indicates that the pilot was flying low over a river, which suggests a potential unsafe act related to the environment, specifically low altitude flying.",Medium,19,"The pilot reported that he and a passenger had departed for a local sight-seeing flight and while flying low over a river the left wing impacted the water. The impact “pulled the plane into the river,” which resulted in substantial damage to the forward fuselage, wings, and tail structure. The pilot reported that there were no pre-accident mechanic malfunctions or failures with the airplane that would have precluded normal operation."
AE100 only,PE100_Physical_Environment,"The pilot experienced turbulence and wind shear, which are environmental factors that can lead to unsafe acts.",High,20,"The pilot reported that he was flying the RNAV (GPS) approach to runway 24 and experienced turbulence about 1,500 ft mean sea level (msl), which was about 700 ft above ground level (agl). He continued the approach with an airspeed between 95 and 100 kts. He stated that about 50 ft agl and short of the runway, the airplane encountered wind shear that violently forced the airplane to the ground. The airplane impacted the ground in a wings level attitude and continued onto the runway. The left main landing gear separated, the airplane veered off the left side of the runway, then came to rest in the grass facing 180° from the direction of travel. Postaccident photos of the airplane revealed substantial damage to the right wing. The pilot reported no preimpact mechanical malfunctions or failures that would have precluded normal operation. _x000D_
The pilot stated to the responding fire department that there was a 30 kt crosswind on final approach. The recorded wind data around the time of the accident showed the wind was from 250° to 260° and 7 to 11 kts."
AE200 only,"PE100_Physical_Environment, PE200_Tools_Technology, PP100_Communication_Coordination_Planning","The unsafe act is primarily related to the lack of proper tools and technology, specifically the absence of a two-way radio, which directly contributed to the unsafe situation during night operations.",High,21,"According to the airport manager, the non-certificated pilot attempted to land the light sport airplane at night. The airplane was not equipped with a two-way radio to activate the airport’s pilot-controlled runway lights. The pilot’s first landing attempt resulted in a go-around. After the go-around, the pilot called and asked a friend to shine headlights from a vehicle to illuminate the runway. On the second landing attempt, the airplane landed hard, bounced, and the pilot attempted a go-around. During the go-around the airplane impacted a beanfield. The airplane sustained substantial damage to both wings and the fuselage._x000D_
The pilot did not return the National Transportation Safety Board Pilot/Operator Aircraft Accident/Incident Report Form 6120.1."
AE100 only,AE100,"The evidence indicates that the airplane was landing with a direct crosswind from the left, which suggests a potential unsafe act related to the pilot's handling of the aircraft in adverse weather conditions.",Medium,22,"The private pilot was flying with a flight instructor and was working towards his tailwheel endorsement. During a wheel landing attempt with a direct crosswind from the left, the airplane swerved, and the pilot attempted to make a correction by applying right rudder. Subsequently, the airplane ground looped before the flight instructor could take control of the airplane, and the left wing and left elevator struck the runway surface. Following the ground loop, the pilot continued the taxi to the ramp without further incident. The fuselage, left wing, and left elevator sustained substantial damage. The pilot and flight instructor reported that there were no preimpact mechanical malfunctions or failures with the airplane that would have precluded normal operation."
AE100 only,AE100,"The evidence indicates that the pilot encountered a gusting wind, which suggests an unsafe act related to the physical environment affecting the pilot's performance.",Medium,23,"The pilot of the gyroplane reported that, during a touch-and-go landing to the runway, he encountered a gusting wind, causing the gyroplane to veer left to the grass. Subsequently, the gyroplane collided with the runway hold short sign, resulting in substantial damage to the fuselage. The pilot reported that there were no preaccident mechanical malfunctions or failures with the gyroplane that would have precluded normal operation."
AE100 only,AE100,The evidence of landing in a tailwind indicates a specific unsafe act related to the physical environment affecting the landing process.,High,24,"The pilot reported that while landing in a tailwind, he lost directional control on the tail wheeled airplane, and it veered to the left. Subsequently, the main gear exited the runway surface and resulted in the airplane nosing over. The airplane sustained substantial damage to the vertical stabilizer and left-wing strut. The pilot reported that there were no preaccident mechanical failures or malfunctions that would have precluded normal operation."
AE200 only,"PC100_Mental_States, PE200_Tools_Technology","The pilot's mental state indicated a lapse in memory regarding the landing gear, which is a clear unsafe act. The presence of the landing gear position warning horn suggests that the technology was available but not effectively utilized due to the pilot's oversight.",High,25,"The pilot stated that during the landing flare he realized that he forgot to extend the landing gear and determined it was too late to go around.  The underside of the airplane’s fuselage settled onto the runway and skidded down the asphalt, resulting in substantial damage to the structure of the fuselage. The pilot reported there were no mechanical malfunctions that would have prevented normal operation of the airplane._x000D_
The airplane was equipped with a landing gear position warning horn that was designed to sound when the throttle lever was pulled back for landing. The pilot reported that he did not specifically remember hearing the warning horn during the landing flare; however, he stated he might have mistaken the landing gear warning horn for the stall warning horn as he was expecting to hear the stall warning during the landing flare. The pilot reported that when he went back to the airplane after the accident and powered up the airplane’s electrical system, the landing gear warning horn operated normally."
AE100 only,"PE100, PC300",The unsafe act is classified as AE100 only due to the physical environment being choppy water during touchdown and the limitation in the pilot's view caused by the airframe.,Medium,26,"The pilot reported that she had setup for landing on an intracoastal waterway and picked a landing area based on the locations of three nearby boats. During final approach, she had the three boats in sight, one of which was on the far right side of waterway and traveling in the same direction. She determined that the boats would not be a factor and continued to land. The airplane touched down on the choppy water and she added power to keep the airplane on the step. Immediately after touchdown the airplane veered left, then nosed over and sustained substantial damage to the right wing. The pilot egressed the airplane without further incident. She noticed that the recreational boat that was originally on the right side of the waterway was now on the left side and the boat driver stated that the airplane hit the boat. Since the pilot was seated in the left seat, her view to the lower right area of the airplane would have been restricted by the airframe. The pilot added that three other airplanes had just landed on the waterway and there was one more in position to land behind her."
AE200 only,,"The instructor's inability to manage the student's excessive input indicates a failure in the execution of the go-around procedure, which aligns with unsafe acts related to decision-making and performance.",Medium,27,"The flight instructor and the student pilot were practicing a simulated loss of engine power landing procedure. When the airplane was over the runway, it began to “excessively” float and the instructor told the student to go-around. The student added full power and pulled back on the control yoke to initiate the go-around. The instructor said the airplane almost immediately banked toward the left of the runway. He immediately took over the controls and attempted to recover from the situation; however, he said that he was unable to overpower the student’s excessive input and the airplane impacted the ground resulting in substantial damage to the right wing. The instructor reported that there were no preimpact mechanical malfunctions or failures of the airplane that would have precluded normal operation."
AE100 only,,"The absence of preconditions indicates that the unsafe acts are likely related to errors in decision-making or actions taken by the operator, which aligns with AE100.",High,28,"The pilot reported that, while turning from the left base to the final approach leg of the airport traffic pattern, the airplane’s stall warning horn sounded. The pilot pitched the airplane’s nose down and increased engine power. The airplane then “violent[ly]” pitched up and to the left. He continued his attempt to regain control, but the airplane then pitched up and to the right, and eventually impacted terrain about 200 ft short of the runway threshold. The pilot and passenger incurred minor injuries, and the airplane sustained substantial damage to the empennage, both wings, and engine mount. The pilot reported that there were no preimpact mechanical malfunctions or failures of the airplane that would have precluded normal operation."
AE100 only,AE100,"The evidence indicates that the pilot experienced a crosswind that affected the landing, which aligns with unsafe acts related to pilot error in handling environmental conditions.",High,29,"The pilot reported that upon landing a crosswind “pushed” the airplane off the runway. The airplane encountered a ditch, crossed a taxiway, and impacted a fence. The airplane sustained damage to the fuselage, both wings, and the left-wing strut. The pilot reported that there were no preaccident failures or malfunctions with the airplane which would have precluded normal operation."
AE200 only,PE200_Tools_Technology,The presence of the squat switch indicates a technological factor that could have contributed to the unsafe act of retracting the landing gear instead of the flaps.,Medium,30,"The pilot reported that during the landing rollout on a 3,001-ft-long, asphalt runway, he intended to retract the flaps, but instead he retracted the landing gear. The result was that all three of the landing gear assemblies retracted into their respective wheel wells during the landing roll. The lower fuselage stringers were substantially damaged. The pilot added that there were no preimpact mechanical malfunctions with the airplane. _x000D_
The airplane was equipped with a squat switch on the left main landing gear that was designed to prevent the landing gear from inadvertently retracting; however, the switch required that sufficient weight be on the landing gear in order to work effectively. The pilot stated, and a video of the landing confirmed, that the airplane was still moving at relatively high speed when he selected the landing gear handle to the retracted position. The pilot reported that the squat switch was tested at the last annual inspection and that it operated normally during the inspection. Based on this information, it is likely that the airplane’s wings were still generating lift when the landing gear handle was selected to the retracted position and the gear struts was not compressed enough to activate the squat switch."
AE200 only,,The pilot's lack of recent experience with go-arounds or touch-and-go landings in the specific airplane make and model indicates a potential unsafe act related to inadequate skill or knowledge.,Medium,31,"The pilot and the flight instructor planned a flight itinerary that included multiple stops with the aim of the pilot receiving 7 hours of training in the airplane. Prior to the accident, the flight instructor learned that the pilot had not performed go-arounds or touch-and-go landings in the airplane make and model. Upon flying the airplane into the accident airport, the favorable weather conditions and lack of air traffic led them to decide to conduct the training in the traffic pattern there. _x000D_
The first landing was made by the pilot to a full stop with taxi back. The second landing, which was a touch-and-go, was performed by the flight instructor. The third, followed by the fourth and final landing was performed by the pilot. During the fourth landing, with the wing flaps fully extended, the pilot lost directional control of the airplane and attempted to abort the landing as the airplane veered to the left (a right crosswind prevailed at that time). The pilot tried to correct back toward to the runway centerline, but the airplane went off the left side of the runway. The airplane then touched down in the grass, traveled down an embankment, nosed over, and came to rest inverted. The airframe was substantially damaged during the accident sequence. The pilot reported that there were no preimpact mechanical malfunctions or failures of the airplane that would have precluded normal operation."
AE200 only,"PE200_Tools_Technology, PC300_Physical_Mental_Limitations","The pilot's action of accidentally advancing the elevator trim lever instead of the throttle lever indicates a misuse of tools/technology, and the intention to abort the landing suggests a limitation in physical or mental state.",High,32,"The pilot purchased the airplane the day prior to the accident. During the landing at the destination airport, the airplane bounced, and the pilot intended to abort the landing; however, he accidentally advanced the elevator trim lever, rather than the throttle lever (which were similarly positioned and shaped). The airplane subsequently touched down a second time nose-low, resulting in damage to the main landing gear and propeller. Several fuselage tubes were also substantially damaged during the landing. The pilot stated that there were no preimpact mechanical malfunctions or failures of the airplane that would have precluded normal operation."
AE200 only,PE200_Tools_Technology,"The evidence indicates a failure of the system’s hydraulic filter, which directly relates to the technology involved in the landing gear operation.",High,33,"The pilot said that he extended the airplane’s landing gear in preparation to land but did not confirm if the gear was down and locked. As such, he was not aware that the landing gear did not extend due to a failure of the system’s hydraulic filter. The pilot landed gear up, resulting in substantial damage to the fuselage. The pilot said that when the airplane was recovered from the runway, recovery personnel were able to lift the airplane and extend the landing gear using the emergency gear hand pump."
AE200 only,,"The pilot's mental state contributed to the unsafe act of allowing the airplane to get 'too slow', indicating a decision-making error.",High,34,"The pilot was practicing an emergency descent and landing when he deployed full wing flaps and descended to the touchdown point. About 10 to 15 ft above ground level, the airplane encountered a rapid sink rate that he failed to arrest. The airplane touched down hard, and the fuselage was substantially damaged. The pilot stated that, upon reflection, if he had added the power and extended the airplane’s glide path, he might have been in a better position for landing; however, he allowed the airplane to get “too slow.”_x000D_
The pilot reported no mechanical anomalies with the airplane that would have precluded normal operation."
AE200 only,AE200,"The UAS registered a low voltage health alert due to an insufficiently charged battery, indicating a failure related to tools and technology.",High,35,"The operator of the unmanned aircraft system (UAS) reported that during a test flight, the UAS descended, delivered a package to the practice location, and began a vertical climb to return to the landing zone. During the vertical climb, the UAS registered a low voltage health alert and initiated an “urgent land maneuver.”  During the maneuver, the UAS battery depleted to a point where it lost propulsive power, and impacted terrain, resulting in substantial damage to all 4 wings, and spar damage to the number 2, 3, and 4 wings.   _x000D_
Postaccident review of the circumstances surrounding the flight by the operator revealed that an insufficiently charged battery had been installed on the UAS. _x000D_
The operator reported that there were no preaccident mechanical failures or malfunctions with the UAS that would have precluded normal operation."
AE100 only,AE100,"The pilot's focus on the motorcycle indicates a distraction, which aligns with unsafe acts related to attention and situational awareness.",High,36,"The pilot reported that after landing at the airport, he was taxing the airplane on the dry asphalt. During the taxi, he observed a motorcycle on the taxiway coming toward the airplane. While focusing on the motorcycle, the right wing impacted several garbage cans, the airplane turned to the right, and impacted a hangar door. The airplane came to rest upright, and the pilot was able to egress from the airplane without further incident._x000D_
The airplane sustained substantial damage to the right wing. The pilot reported that there were no preimpact mechanical malfunctions or failures with the airframe or the engine that would have precluded normal operation. This was the pilot’s first visit to the airport, and he reported he did not visually observe the garbage cans during the taxi, as they were in an area that was shadowed from a hangar. According to the Federal Aviation Administration Chart Supplement for the airport, the remarks section states, “uncontrolled vehicle tfc inv of hangars and on twys.”"
AE200 only,,"The evidence indicates that the pilot was likely applying brake pressure inadvertently, which suggests a failure in the execution of a task related to aircraft control, aligning with unsafe acts classified under AE200.",Medium,37,"The pilot of the tailwheel-equipped airplane intended to spend the day practicing takeoffs and landings at multiple remote backcountry sites with a group of three other similar airplanes. He practiced at the original departure airport before the other group arrived and reported that those flights were nominal. The group then departed for the first intended destination, which was a flat landing site surrounded by tall grass and brush. Those landings were uneventful, so the group decided to proceed to another close landing spot._x000D_
This landing area appeared wider and flatter than the previous, however the grass was taller and thicker, such that the ground was obscured. The first airplane landed uneventfully, and the accident pilot decided that rather than landing he would perform a touch-and-go, with the wheels touching the grass so he could assess the conditions. As the pilot began to flare the airplane, he decided that it was safe to proceed with a full-stop landing. As the wheels touched the ground, it became apparent that the surface was much rougher than he anticipated, and the airplane bounced after the main wheels touched two large rocks 200 ft into the ground roll. The pilot retracted the flaperons and as the airplane decelerated the nose began to drop, even though he was holding the control stick full aft. The pilot stated that he was likely inadvertently applying brake pressure as he pushed against the rudder pedals to pull back further on the control stick, and that this may have exacerbated the pitch down motion. The airplane then nosed over._x000D_
The airplane came to rest inverted and sustained substantial damage to both wing struts and multiple wing ribs."
AE100 only,AE100,"The presence of heavy turbulence indicates a physical environmental factor that could lead to unsafe acts, specifically related to the handling of the aircraft during turbulent conditions.",Medium,38,"The pilot reported that he was attempting a second landing, after going around due to “heavy turbulence” on his first approach. He reported that he experienced a tailwind and the airplane floated before landing “longer than usual.” He applied the brakes but was unable to stop on the runway resulting in a runway overrun. After departing the runway, the airplane impacted a fence resulting in substantial damage to the left wing and engine mount. The pilot reported that there were no preaccident mechanical malfunctions or failures with the airplane that would have precluded normal operation."
AE100 only,"PE100_Physical_Environment, PC100_Mental_States",The change in wind conditions (PE100) and the pilot's admission of being 'just too high' (PC100) indicate unsafe acts related to the physical environment and mental state.,Medium,39,"At the conclusion of the glider flight, the pilot entered the left airport traffic pattern for landing, but the wind conditions had changed, so he maneuvered to the right traffic pattern. While on approach, the glider was too high, so he extended the dive brakes and attempted to slip the glider, but he was unable to lose enough altitude for a safe landing on the runway, and elected to land on an adjacent field. During touchdown, the nose of the glider dug into the soft terrain, resulting in substantial damage to the airframe. The pilot stated there were no preimpact mechanical issues that precluded normal operation or performance and that he was “just too high” and unable to safely land on the runway."
AE100 only,,"The absence of preconditions indicates that the unsafe acts are likely related to errors in decision-making or actions taken by the operator, which aligns with AE100.",High,40,"The pilot reported that about 4 hours and 15 minutes after departure, the engine lost all power. The pilot was successful in restoring engine power by switching fuel tanks and turning on the auxiliary fuel pump. However, the engine lost all power again about 5 miles from the destination runway. The pilot conducted a forced landing to a field, during which the airplane struck a fence resulting in substantial damage to both wings. _x000D_
Postaccident examination of the airplane revealed that the fuel tanks contained no usable fuel. The pilot reported that there were no preaccident mechanical failures or malfunctions with the airplane that would have precluded normal operation."
AE200 only,"PC100_Mental_States, PC300_Physical_Mental_Limitations","The evidence indicates that the student pilot was experiencing difficulty with control inputs and was holding the controls tightly, which suggests a lack of appropriate mental and physical state for safe operation.",High,41,"The flight instructor was teaching the student pilot to hover the helicopter about 5 ft above a grass area. The student pilot was having difficulty with over-controlling the helicopter and had been applying abrupt control inputs. The flight instructor was demonstrating the behavior of the helicopter with the application of collective control when the student pilot raised the collective control too hard, which resulted in the helicopter tilting right. The flight instructor attempted to correct, but the student pilot was holding the controls tightly and the helicopter’s right skid contacted the ground, resulting in a dynamic rollover. The flight instructor reported that there were no preimpact mechanical malfunctions or failures of the helicopter that would have precluded normal operation."
